Pais	Liga	ROBOT	AUN NO HAN SALIDO	QUITAR
ALBANIA	Superliga	Superliga		

ALEMANIA	Bundesliga	Bundesliga		
ALEMANIA	Regionalliga Nordost	Regionalliga Nordost		
ALEMANIA	Regionalliga West	Regionalliga West		
				
ANDORRA	Primera Divisió	Primera Division		
				
ARABIA SAUDI	Primera División	Primera Division		
				
ARGELIA	Ligue 2	Liga 2		
ARGELIA	Ligue 1	Liga 1		
				
Argentina	Primera C		Primera C	
ARGENTINA	Torneo Betano - Apertura	Primera Division		
Argentina	Primera B Metropolitana		Primera B	
				
Austria	Austria - 2ª Liga		Liga 2	
				
AZERBAIYAN	Premier League	Premier League		
				
BAHREIN	Premier League	Premier League		
				
BELGICA	Challenger Pro League	Challenger		
BELGICA	National Division 1 - VV	National		
BELGICA	Jupiler Pro League	Jupiler		
				
Bielorrusia	Premier League		Premier League	
				
Bolivia	Liga Profesional		Liga Profesional	
				
BOTSUANA	Premier League	Premier League		
				
BRASIL	Acreano			QUITAR
BRASIL	Alagoano			QUITAR
BRASIL	Amazonense - Primera fase			QUITAR
BRASIL	Baiano			QUITAR
BRASIL	Brasiliense			QUITAR
BRASIL	Capixaba			QUITAR
BRASIL	Carioca - Taça Guanabara			QUITAR
BRASIL	Catarinense			QUITAR
BRASIL	Cearense			QUITAR
Brasil	Copa do Brasil 			QUITAR
BRASIL	Gaucho			QUITAR
BRASIL	Goiano			QUITAR
BRASIL	Maranhense			QUITAR
BRASIL	Matogrossense			QUITAR
BRASIL	Mineiro	Mineiro		
BRASIL	Paraibano			QUITAR
BRASIL	Paranaense	Paranaense		
BRASIL	Paulista	Paulista		
BRASIL	Paulista A2			QUITAR
BRASIL	Paulista A4			QUITAR
BRASIL	Pernambucano			QUITAR
BRASIL	Piauiense - Primera fase			QUITAR
BRASIL	Sergipano			QUITAR
Brasil	Serie A		Serie A	
Brasil	Serie B		Serie B	
BRASIL	Sul-Matogrossense			QUITAR
				
Bulgaria	First League	First League		
				
BURKINA FASO	Premier League	Premier League		
				
BURUNDI	Primus League	Primus League		
				
CAMERUN	Elite Two	Elite Two		
CAMERUN	Elite One	Elite One		
				
Chile	Primera División 		Primera Division	
Chile	Primera B		Primera B	
				
China	League One		League One	
				
Chipre	Division 1		Primera Division	
				
CHIPRE	Division 2 - Grupo Descenso	Division 2		
CHIPRE	Cyprus League	Primera Division		
				
COLOMBIA	Primera A - Apertura	Primera A		
COLOMBIA	Primera B - Apertura	Primera B		
				
Coreal del Sur	K-League 2		K-League 2	
				
COSTA DE MARFIL	Ligue 1	Ligue 1		
				
COSTA RICA	Liga de Ascenso - Clausura	Segunda Division		
COSTA RICA	Primera División - Clausura	Primera Division		
				
CROACIA	HNL	HNL		
				
Ecuador	Serie B		Serie B	
Ecuador	Liga Pro		Primera A	
				
EGIPTO	Premier League	Premier League		
				
